neighborhood,zipCode,bedRoomNumber,Unnamed: 0_x,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,baths,rent,sqft,availability,deposit,leaseLength
Alki,98116,1,581.5,,,50.0,34.5,9886.5,1.0,1847.5,789.0,1.0,1700.0,12.0
Alki,98116,2,531.6666666666666,,,46.666666666666664,36.0,9688.666666666666,1.0,2731.6666666666665,1123.0,1.0,1125.0,12.0
Arbor Heights,98146,1,411.0,,,22.0,37.0,9192.0,1.0,1500.0,1000.0,1.0,1000.0,6.0
Arbor Heights,98146,2,677.0,,,10.0,37.0,10149.0,2.0,2554.0,1290.0,1.0,,
Arbor Heights,98146,3,630.0,,,40.0,45.0,9887.0,1.0,2295.0,1120.0,,2295.0,
Atlantic,98114,1,348.0,5.0,,92.0,89.0,8517.0,1.0,1695.0,500.0,,,
Atlantic,98144,1,333.8514285714286,,2.361111111111111,89.77669902912622,70.42718446601941,4688.4169381107495,1.0388349514563107,2211.6430976430975,679.2621359223301,1.0,1428.0,12.0
Atlantic,98144,2,301.85,,2.238095238095238,90.3061224489796,70.70408163265306,4784.163265306122,2.066326530612245,3314.681818181818,1057.6907216494844,1.0,3000.0,12.0
Atlantic,98144,3,442.8181818181818,,,88.29411764705883,71.41176470588235,5923.058823529412,2.235294117647059,3693.470588235294,1293.0,1.0,1750.0,6.5
Ballard,98103,1,177.0,,23.0,93.0,54.0,5924.8,1.0,1767.0,543.8571428571429,1.0,,
Ballard,98103,2,177.0,,23.0,93.0,54.0,5932.5,1.6666666666666667,2468.0,853.8333333333334,,,
Ballard,98107,1,176.88063660477454,4.73469387755102,3.2697841726618706,95.47214854111405,54.73209549071618,4764.416445623342,1.0159151193633953,2022.936090225564,649.5371352785146,1.0,1300.0,12.0
Ballard,98107,2,160.6046511627907,4.636363636363637,3.5753424657534247,94.98837209302326,54.31395348837209,4580.220930232558,1.819767441860465,3089.574468085106,1009.8313953488372,1.0,2250.0,12.0
Ballard,98107,3,376.2,,10.0,94.2,54.8,7242.8,2.3,3372.4,1240.0,1.0,2600.0,
Ballard,98117,1,498.0,,,91.0,47.0,9560.0,1.0,1535.0,700.0,1.0,1000.0,12.0
Beacon Hill,98108,1,451.0,5.0,,57.5,53.0,9102.5,1.0,1345.0,478.0,1.0,1195.0,12.0
Beacon Hill,98108,2,333.0,5.0,,73.0,54.0,8448.0,2.0,1950.0,989.0,1.0,,
Beacon Hill,98108,3,640.0,,,50.0,56.0,9917.0,2.0,3172.5,1800.0,1.0,1000.0,
Belltown,98121,1,189.7982345523329,4.805369127516778,6.7890625,97.96595208070617,99.36065573770492,5139.24842370744,1.0025220680958387,2080.776595744681,625.4387755102041,1.0,1122.5,9.0
Belltown,98121,2,193.75135135135136,4.75,6.963503649635037,97.87027027027027,99.07567567567567,5305.918918918919,1.7216216216216216,3655.221153846154,1043.8216216216217,1.0,2000.0,12.0
Belltown,98121,3,186.33333333333334,,4.333333333333333,97.13333333333334,97.66666666666667,3983.5333333333333,2.2,5315.0,1618.7333333333333,1.0,,
Bitter Lake,98133,1,292.34615384615387,4.464285714285714,1.5454545454545454,73.51923076923077,52.17307692307692,7682.615384615385,1.0480769230769231,1362.4,633.4615384615385,1.0,900.0,
Bitter Lake,98133,2,338.7142857142857,4.363636363636363,1.5454545454545454,74.57142857142857,52.42857142857143,7980.821428571428,1.4107142857142858,1767.7083333333333,912.9642857142857,1.0,1190.0,
Bitter Lake,98133,3,219.0,,1.0,79.0,52.0,6531.4,2.0,2267.8,1081.8,1.0,,
Briarcliff,98199,5,723.0,,,72.0,36.0,10503.0,3.5,5395.0,2950.0,1.0,,
Brighton,98118,1,246.2103448275862,5.0,24.0,84.49655172413793,65.96551724137932,5160.010344827586,1.0206896551724138,1685.3831168831168,664.8206896551724,1.0,750.0,12.0
Brighton,98118,2,252.6969696969697,5.0,24.0,84.13636363636364,65.89393939393939,5282.045454545455,1.9090909090909092,2778.3571428571427,1019.6363636363636,1.0,750.0,12.0
Broadview,98133,1,379.25,4.0,,63.75,50.0,8445.5,1.0,1595.0,653.25,1.0,1595.0,
Broadview,98133,2,308.9,4.0,3.0,62.2,50.0,8189.2,2.0,1968.111111111111,942.65,1.0,,
Bryant,98105,1,542.25,,,79.25,61.75,9659.5,1.0,1545.0,600.0,1.0,1695.0,12.0
Bryant,98115,4,533.0,,,77.0,56.0,9651.0,2.0,4100.0,2480.0,1.0,4100.0,
Bryn Mawr-Skyway,98178,1,269.8,5.0,5.0,30.8,,7238.6,1.0,1358.0,682.2,1.0,,
Bryn Mawr-Skyway,98178,2,311.6363636363636,5.0,5.5,33.81818181818182,40.0,7877.909090909091,1.5,1737.0,992.8181818181819,1.0,,
Bryn Mawr-Skyway,98178,3,474.75,5.0,7.0,25.5,41.0,8853.0,1.75,2425.0,1587.5,1.0,,
Capitol Hill,98102,1,315.1857142857143,4.859649122807017,1.4,97.91428571428571,84.48571428571428,7394.885714285714,1.0,1880.179487179487,577.65,1.0,1687.5,12.0
Capitol Hill,98102,2,335.7083333333333,4.9,2.0,96.08333333333333,82.54166666666667,7508.166666666667,1.8333333333333333,2849.1111111111113,903.0625,1.0,3047.5,12.0
Capitol Hill,98112,1,510.0,,,97.0,80.0,9595.0,1.0,1450.0,600.0,1.0,500.0,12.0
Capitol Hill,98122,1,190.0500927643785,4.748743718592965,2.4289940828402368,99.50463821892393,94.71614100185529,5390.124304267161,1.0475746268656716,2028.0493421052631,618.0206692913385,1.0,800.0,12.0
Capitol Hill,98122,2,136.1157894736842,4.916666666666667,3.717391304347826,99.5578947368421,94.77894736842106,4229.8,1.8736842105263158,3833.3636363636365,1101.6157894736841,1.0,2450.0,6.0
Capitol Hill,98122,3,142.75,5.0,12.0,99.0,97.0,4900.75,2.6875,5871.2,1773.0,1.0,,
Central Seattle,98144,1,237.0,5.0,,93.0,78.0,6831.428571428572,1.0,2126.4285714285716,653.1428571428571,,,
Central Seattle,98144,2,237.0,5.0,,93.0,78.0,6826.0,2.0,2960.0,1125.4,1.0,,
Chinatown,98104,1,225.1969696969697,4.0,3.870967741935484,98.03030303030303,100.0,6404.757575757576,1.0,1266.3469387755101,404.53076923076924,1.0,400.0,12.0
Chinatown,98104,2,188.5,4.0,2.4,98.0,100.0,5793.125,1.375,2355.0,969.84375,,,
Columbia City,98108,1,207.5,4.75,,87.0,64.0,6417.25,1.0,1755.4285714285713,536.5625,1.0,,
Columbia City,98108,2,358.0,3.0,,87.0,64.0,8569.5,1.25,,980.5,,,
Columbia City,98108,3,358.0,3.0,,87.0,64.0,8571.0,2.0,,1274.0,,,
Columbia City,98108,4,358.0,3.0,,87.0,64.0,8572.0,2.0,,1522.0,,,
Columbia City,98108,5,358.0,3.0,,87.0,64.0,8573.0,2.0,,1874.0,,,
Columbia City,98118,1,129.375,5.0,2.3333333333333335,92.984375,62.34375,4088.484375,1.0,1809.3023255813953,618.6349206349206,1.0,938.0,12.0
Columbia City,98118,2,83.48,,1.375,91.68,63.04,2689.48,2.0,2634.6,1140.0625,1.0,,
Columbia City,98144,2,323.0,4.0,,89.0,71.0,8408.0,1.0,1464.0,756.5,1.0,,
Crown Hill,98117,1,318.125,4.428571428571429,,79.0,55.25,7647.0,1.0,1448.75,594.6428571428571,1.0,1700.0,
Crown Hill,98117,2,275.0,4.428571428571429,,78.0,55.142857142857146,7330.285714285715,1.8571428571428572,2211.6666666666665,1013.0,1.0,,
Crown Hill,98117,3,726.0,,,85.0,54.0,10506.0,1.0,3600.0,1550.0,1.0,,
Denny Triangle,98101,1,187.96396396396398,5.0,4.371841155234657,99.07507507507508,100.0,4484.678678678679,1.015015015015015,2786.10599078341,805.0045045045046,1.0,2990.0,12.0
Denny Triangle,98101,2,202.7685185185185,5.0,3.9473684210526314,99.04629629629629,100.0,4730.037037037037,2.0069444444444446,4250.652777777777,1320.0925925925926,1.0,3950.0,12.0
Denny Triangle,98101,3,144.6,5.0,5.0,99.0,100.0,3954.0,2.2,5554.333333333333,1379.6,1.0,,
Denny Triangle,98121,1,257.2899628252788,,20.66417910447761,99.55018587360595,99.99256505576209,5753.014869888476,1.0074349442379182,2917.718592964824,739.4721189591078,1.0,1500.0,
Denny Triangle,98121,2,257.8952380952381,,25.173076923076923,99.62857142857143,99.98095238095237,5357.238095238095,1.9047619047619047,5057.0,1190.9333333333334,1.0,5000.0,12.0
Denny Triangle,98121,3,351.5652173913044,,20.130434782608695,99.91304347826087,100.0,6441.608695652174,2.9130434782608696,12635.2,2155.4347826086955,1.0,,
Downtown Seattle,98101,1,37.76190476190476,4.0,2.9423076923076925,98.43333333333334,100.0,1393.0857142857142,1.0,2372.0476190476193,732.2785714285715,1.0,,
Downtown Seattle,98101,2,26.356164383561644,,4.068493150684931,98.15068493150685,100.0,989.082191780822,1.904109589041096,3594.0714285714284,1217.7671232876712,1.0,,
Downtown Seattle,98104,1,92.0,,15.0,98.0,100.0,3451.75,1.0,1789.875,578.0,1.0,,
Downtown Seattle,98104,2,269.0,,15.0,96.66666666666667,100.0,5597.0,1.3333333333333333,2825.0,921.6666666666666,1.0,,
Dunlap,98118,1,353.0,2.0,,77.0,48.0,8548.0,1.0,1127.2,750.0,,,
Dunlap,98118,2,353.0,2.0,,77.0,48.0,8553.0,1.0,1295.0,850.0,,,
Dunlap,98118,3,353.0,2.0,,77.0,48.0,8557.0,1.0,1599.0,1033.3333333333333,,,
Dunlap,98118,4,537.0,,,82.0,58.0,9655.0,3.0,3100.0,1800.0,1.0,3000.0,12.0
Eastlake,98102,1,180.7826086956522,5.0,5.155555555555556,78.43478260869566,62.76086956521739,5506.369565217391,1.0,1648.6222222222223,459.0777777777778,1.0,,
Eastlake,98102,2,228.55555555555554,5.0,6.0,80.55555555555556,59.666666666666664,5895.555555555556,1.7777777777777777,2895.3333333333335,927.5,1.0,1500.0,12.0
Fairmount Park,98116,1,381.0,,1.0,92.0,54.0,9001.75,1.0,2252.7272727272725,750.5,1.0,,
Fairmount Park,98116,2,381.0,,1.0,92.0,54.0,9002.8,2.0,2758.3333333333335,988.6,,,
Fairmount Park,98126,1,143.65625,,7.645161290322581,85.03125,56.9375,4380.4375,1.0,1826.8709677419354,685.03125,1.0,,
Fairmount Park,98126,2,188.125,,6.375,86.0,56.25,5339.375,1.625,2311.5,996.5,1.0,,
Fauntleroy,98136,4,661.0,,,43.0,47.0,10012.0,2.0,3400.0,2290.0,,3400.0,
First Hill,98101,1,164.17283950617283,4.0,4.7254901960784315,98.33333333333333,100.0,5028.777777777777,1.0246913580246915,1956.3636363636363,618.38125,1.0,425.0,12.0
First Hill,98101,2,163.85294117647058,4.105263157894737,5.769230769230769,98.08823529411765,100.0,4912.705882352941,1.7941176470588236,3285.676470588235,1098.0735294117646,1.0,3150.0,12.0
First Hill,98101,3,129.0,4.0,,98.0,100.0,4436.142857142857,2.0,5704.714285714285,1691.2857142857142,1.0,,
First Hill,98104,1,265.26623376623377,4.771428571428571,5.220883534136546,96.6948051948052,100.0,5639.470779220779,1.0,2099.6762295081967,639.1607142857143,1.0,,
First Hill,98104,2,282.27536231884056,5.0,3.7016129032258065,96.54347826086956,100.0,5658.942028985507,1.7463768115942029,2839.769230769231,1022.9891304347826,1.0,4700.0,12.0
First Hill,98104,3,273.0,,4.0,96.0,100.0,7672.0,2.0,,1200.0,,,
First Hill,98122,1,369.340206185567,4.865979381443299,,92.26804123711341,100.0,6632.75,1.0,2259.593023255814,668.9946808510638,1.0,,
First Hill,98122,2,374.6666666666667,4.888888888888889,,92.22222222222223,100.0,6673.316239316239,2.0,3184.1111111111113,1029.0309734513273,1.0,,
Fremont,98103,1,298.0409090909091,5.0,2.4166666666666665,90.83181818181818,63.445454545454545,6296.668181818181,1.0113636363636365,1989.24,622.4409090909091,1.0,1000.0,12.0
Fremont,98103,2,283.82666666666665,5.0,2.25,91.24,63.50666666666667,5955.173333333333,1.82,2865.3793103448274,1010.8133333333334,1.0,1750.0,12.0
Fremont,98103,3,417.5,,1.0,93.0,65.5,9233.25,1.75,2473.75,1100.875,,2595.0,12.0
Fremont,98107,1,266.0,5.0,,89.0,66.0,7457.0,1.0,1621.6666666666667,661.3,1.0,,
Fremont,98107,2,266.0,5.0,,89.0,66.0,7461.0,2.0,,843.5,,,
Gatewood,98126,1,724.0,,,54.0,45.0,10504.0,1.0,1500.0,1000.0,1.0,,
Genesee,98116,1,296.381679389313,5.0,4.546666666666667,95.87022900763358,54.0,5952.82824427481,1.0534351145038168,1859.9326424870467,674.4351145038167,1.0,,
Genesee,98116,2,278.35064935064935,5.0,5.590163934426229,95.46753246753246,54.0,5776.584415584415,1.8181818181818181,2758.4210526315787,1039.8133333333333,1.0,,
Genesee,98116,3,417.0,,,96.0,54.0,9201.0,2.5,2850.0,1580.0,,2850.0,6.0
Georgetown,98108,1,544.0,,,64.0,48.0,9680.0,1.0,1550.0,505.0,1.0,1500.0,12.0
Georgetown,98108,2,700.0,,,71.0,50.0,10341.0,1.0,1595.0,1080.0,1.0,,
Green Lake,98103,3,631.0,,,82.0,57.0,9888.0,2.0,2495.0,1580.0,,,
Green Lake,98115,1,186.17910447761193,4.0,6.794117647058823,94.9950248756219,56.353233830845774,5051.28855721393,1.0,1941.861635220126,626.1019900497513,1.0,,
Green Lake,98115,2,204.24193548387098,,6.274193548387097,94.7741935483871,56.41935483870968,5408.032258064516,1.7903225806451613,2976.0851063829787,1116.8790322580646,1.0,,
Greenwood,98103,1,377.85714285714283,5.0,1.0,93.47619047619048,55.142857142857146,8770.142857142857,1.0,1581.95,650.1904761904761,1.0,400.0,1.0
Greenwood,98103,2,305.0,,1.0,95.0,55.0,8313.5,2.0,2069.0,908.75,,,
Greenwood,98103,5,509.0,,,87.0,57.0,9594.0,3.0,750.0,1800.0,1.0,400.0,1.0
Greenwood,98117,1,330.6666666666667,5.0,,90.83333333333333,54.833333333333336,7772.666666666667,1.0,1599.6666666666667,626.0,1.0,,
Greenwood,98117,2,467.0,,,89.0,56.0,9472.0,1.0,2200.0,1200.0,,2200.0,12.0
Greenwood,98133,1,30.19148936170213,,5.0,84.02127659574468,57.0,861.2553191489362,1.0,1581.0526315789473,593.8404255319149,1.0,,
Greenwood,98133,2,15.0,,5.0,84.0,57.0,659.125,1.25,2229.0,907.25,1.0,,
Greenwood,98177,1,354.0,5.0,,81.0,56.0,8559.0,1.0,1650.0,650.0,,,
Haller Lake,98133,1,510.5,,2.0,80.0,56.5,9521.5,1.25,1750.0,923.0,1.0,2350.0,12.0
Haller Lake,98133,2,437.0,,,86.0,60.0,9329.0,1.0,1750.0,920.0,,500.0,12.0
Harrison/Denny Blaine,98112,3,593.0,,,88.0,55.0,9842.0,2.0,3400.0,1200.0,1.0,600.0,
High Point,98106,1,216.5,4.0,5.0,43.5,47.5,6547.875,1.0,1498.5,739.25,1.0,,
High Point,98106,2,275.5,4.0,5.0,44.875,47.625,7032.5,1.0,1775.75,886.75,1.0,1600.0,
High Point,98106,4,443.0,,,41.0,48.0,9358.0,2.0,2900.0,1980.0,1.0,2900.0,12.0
High Point,98126,1,172.0,,14.0,71.0,52.0,5791.227272727273,1.0,1823.076923076923,677.7272727272727,1.0,,
High Point,98126,2,172.0,,14.0,71.0,52.0,5799.75,1.625,2595.0,983.125,,,
Highland Park,98106,1,397.0,,5.0,45.0,42.0,6723.0,1.0,1775.6666666666667,672.0,1.0,,
Highland Park,98106,2,412.29411764705884,,5.0,45.411764705882355,42.23529411764706,6916.882352941177,1.7058823529411764,1896.0,956.8235294117648,1.0,1700.0,
Highland Park,98106,3,397.0,,5.0,45.0,42.0,6725.5,2.0,2451.0,1141.0,1.0,,
Highline,98146,1,412.64285714285717,,1.2307692307692308,46.214285714285715,43.0,7132.785714285715,1.0,1511.5384615384614,694.8571428571429,,500.0,
Highline,98146,2,392.16,,1.5,44.12,,7082.68,1.68,1683.5652173913043,902.68,1.0,500.0,
Highline,98146,5,642.0,,,62.0,,9919.0,3.5,5600.0,2400.0,1.0,,
Highline,98168,1,382.0,4.0,,45.0,,9019.666666666666,1.0,1286.2,647.9090909090909,1.0,,
Highline,98168,2,382.0,4.0,,45.0,,9027.0,2.0,,1012.0,,,
Highline,98168,3,382.0,4.0,,45.0,,9025.833333333334,2.0,1657.0,1315.5,1.0,,
Interbay,98119,1,205.11764705882354,5.0,2.0,73.94117647058823,53.529411764705884,6086.117647058823,1.0,1926.2272727272727,671.0666666666667,1.0,,
Interbay,98119,2,122.0,5.0,,75.0,53.0,4180.125,2.0,2941.875,1138.25,1.0,,
Interbay,98199,1,624.0,,,54.0,49.0,9881.0,1.0,1395.0,650.0,1.0,,
Interbay,98199,2,688.0,,,45.0,49.0,10225.0,1.0,1700.0,,1.0,,
Junction,98116,1,207.62222222222223,4.397260273972603,2.9339622641509435,97.86111111111111,53.861111111111114,5504.05,1.0,1703.8294573643411,644.1694444444445,1.0,,
Junction,98116,2,197.25806451612902,4.052631578947368,2.875,98.0,54.0,5175.8387096774195,1.4838709677419355,2378.6216216216217,995.8709677419355,1.0,,
Junction,98136,1,149.0,,5.0,92.0,53.0,5073.5,1.0,1893.3181818181818,651.5,1.0,,
Junction,98136,2,149.0,,5.0,92.0,53.0,5080.0,1.75,2508.0,1045.75,1.0,,
Lake City,98125,1,240.24279835390948,4.564516129032258,2.308988764044944,83.60905349794238,57.44855967078189,5974.938271604939,1.0,1548.9150943396226,639.4042553191489,1.0,650.0,12.0
Lake City,98125,2,254.08860759493672,4.3,2.727272727272727,81.43037974683544,57.25316455696203,6393.734177215189,1.620253164556962,1971.8181818181818,946.8424657534247,1.0,1825.0,12.0
Lake City,98125,3,331.7692307692308,4.9,6.0,83.46153846153847,58.15384615384615,8106.538461538462,2.1153846153846154,2484.6666666666665,1307.5833333333333,1.0,1000.0,12.0
Lake City,98125,4,381.4,4.75,,73.6,55.2,8530.4,3.1,2831.5,2372.6,1.0,,
Lake City,98125,5,667.0,,,21.0,39.0,10018.0,5.0,9800.0,4380.0,1.0,,
Lake City,98125,6,735.0,,,88.0,60.0,10632.0,3.0,3150.0,2400.0,1.0,,
Lake Union,98109,1,86.0,,11.0,77.0,77.0,3262.625,1.0,2295.625,700.296875,1.0,,
Lake Union,98109,2,86.0,,11.0,77.0,77.0,3273.1666666666665,2.0,3548.75,1049.875,1.0,,
Laurelhurst,98105,1,621.0,,,79.0,61.0,9878.0,1.0,1350.0,,1.0,,
Lawton Park,98199,1,156.2,,4.090909090909091,55.64,43.76,3302.12,1.0,1750.6190476190477,793.78,1.0,400.0,9.0
Lawton Park,98199,2,239.8,,3.1818181818181817,57.4,43.56,5056.2,1.9,2207.25,1101.26,1.0,,
Lawton Park,98199,3,11.0,,5.0,52.0,44.0,450.0,3.0,,1920.0,,,
Lawton Park,98199,4,11.0,,5.0,52.0,44.0,451.0,3.0,,2000.0,,,
Leschi,98144,1,636.0,,,69.0,47.0,9913.0,1.0,1395.0,,1.0,,
Leschi,98144,2,413.0,,,64.0,45.0,9194.0,1.0,3025.0,950.0,,2200.0,12.0
Leschi,98144,3,595.0,,,43.0,45.0,9844.0,2.0,6000.0,3000.0,1.0,,
