,propertyName,street,city,state,zipCode,neighborhood,reviewScore,reviewCount,walkScore,transitScore
0,Jackson Apartments,2401 S Jackson St,Seattle,WA,98144,Atlantic,0,0,90,70
1,Elan 41,4100 SW Edmunds St SW,Seattle,WA,98116,Junction,4,0,98,54
2,Circa Green Lake Apartments,6900 E Green Lake Way N,Seattle,WA,98115,Green Lake,0,6,95,56
3,LUNA,2745 California Ave SW,Seattle,WA,98116,North Admiral,5,0,91,41
4,Tower 12,2015 2nd Ave,Seattle,WA,98121,Pike Place Market,0,4,98,100
5,Common Summit,1722 Summit Ave,Seattle,WA,98122,Capitol Hill,3,0,99,99
6,Harbor Steps,1221 1st Ave,Seattle,WA,98101,Downtown Seattle,0,5,98,100
7,Ballard 57 Apartments,1731 NW 57th St,Seattle,WA,98107,Ballard,5,0,97,55
8,Fox & Finch Apartments,525 Boren Ave N,Seattle,WA,98109,South Lake Union,5,0,98,88
9,Tellus on Dexter Apartments,403 Dexter Ave N,Seattle,WA,98109,South Lake Union,5,0,94,93
10,Lane,10720 5th Ave NE,Seattle,WA,98125,Maple Leaf,0,1,91,63
11,Overlook at Magnolia,3520 27th Pl W,Seattle,WA,98199,Lawton Park,0,5,52,44
12,Met Tower,1942-1942 Westlake Ave,Seattle,WA,98101,Denny Triangle,0,5,99,100
13,Olympus,2801 Western Ave,Seattle,WA,98121,Belltown,0,5,95,95
14,The Olivian,809 Olive Way,Seattle,WA,98101,Denny Triangle,0,2,99,100
15,Leilani Apartment Homes,10215 Greenwood Ave N,Seattle,WA,98133,Greenwood,0,5,84,57
16,Airmark Apartments,229 Andover Park E,Seattle,WA,98188,Tukwila Urban Center,5,0,60,48
17,Assembly118,4200 S Othello St,Seattle,WA,98118,Brighton,5,0,84,66
18,Helm,625 Boren Ave,Seattle,WA,98109,South Lake Union,0,8,96,86
19,Mera,630 Boren Ave N,Seattle,WA,98109,South Lake Union,0,2,97,85
20,Origin Apartments,12311 32nd Ave NE,Seattle,WA,98125,Lake City,0,1,90,59
21,Chloe on Union,1408-1412 E Union St,Seattle,WA,98122,Minor,0,1,98,82
22,Griffis Belltown,2400 ELLIOTT Ave,Seattle,WA,98121,Belltown,0,5,97,100
23,Charbern Apartments,1705 Belmont Ave,Seattle,WA,98122,Capitol Hill,4,0,99,100
24,AMLI South Lake Union,1260 Republican St,Seattle,WA,98109,South Lake Union,0,3,96,86
25,ArtHouse,2334 Elliott Ave,Seattle,WA,98121,Belltown,0,4,97,100
26,AMLI Mark24,2428 NW Market St,Seattle,WA,98107,Ballard,0,2,97,54
27,The Station At Othello Park,4219 S Othello St,Seattle,WA,98118,Brighton,0,24,87,66
28,Elara At The Market,2134 Western Ave,Seattle,WA,98121,Belltown,0,1,98,100
29,Pike Motorworks,715 E Pine St,Seattle,WA,98122,Capitol Hill,0,1,100,97
30,Via 6,2121 6th Ave,Seattle,WA,98121,Denny Triangle,0,53,99,100
31,Cascade,221 Minor Ave N,Seattle,WA,98109,South Lake Union,4,0,99,92
32,Park South,10102 8th Ave S,Seattle,WA,98168,Southern Heights-Boulevard Park,0,12,35,0
33,Spruce,4555 39th Ave SW,Seattle,WA,98116,Genesee,0,8,95,54
34,Mark on 8th,285 8th Ave N,Seattle,WA,98109,South Lake Union,0,1,97,95
35,The Mill at First Hill,1000 8th Ave,Seattle,WA,98104,First Hill,0,15,98,100
36,Lofts at the Junction,4535 44th Ave SW,Seattle,WA,98116,Junction,5,0,97,53
37,Centennial Tower and Court,2515 4th Ave,Seattle,WA,98121,Belltown,0,7,99,100
38,Helios,1600 2nd Ave,Seattle,WA,98101,Downtown Seattle,0,1,99,100
39,Saxton,520 Terry Ave,Seattle,WA,98104,First Hill,0,2,96,100
40,Odin,5398 Russell Ave NW,Seattle,WA,98107,Ballard,5,0,97,56
41,Vive,1516 NW 51st St,Seattle,WA,98107,Ballard,5,0,94,56
42,Bogtown Flats,9039 Greenwood Ave N,Seattle,WA,98103,Seattle,0,1,87,58
43,Westlake Steps,1207 Westlake Ave N,Seattle,WA,98109,Westlake,5,0,78,79
44,AMLI Arc,1800 Boren Ave,Seattle,WA,98101,Denny Triangle,5,0,99,100
45,JUXT,810 Dexter Ave N,Seattle,WA,98109,South Lake Union,0,1,90,85
46,CityLine,4740 32nd Ave S,Seattle,WA,98118,Columbia City,0,1,92,64
47,Lightbox,4545 8th Ave NE,Seattle,WA,98105,University District,0,3,94,80
48,One Lakefront,1287 Westlake Ave N,Seattle,WA,98109,Westlake,5,0,78,73
49,Rivet Apartments,1201 Mercer St,Seattle,WA,98109,South Lake Union,0,1,97,86
50,The Kennedy Building,907 NE 45th St,Seattle,WA,98105,University District,5,0,97,82
51,Infinity Apartments,1414 10th Ave,Seattle,WA,98122,Capitol Hill,5,0,100,92
52,Bowman,3801 Stone Way N,Seattle,WA,98103,Fremont,5,0,89,64
53,Sitka,1255 Harrison St,Seattle,WA,98109,South Lake Union,0,16,97,89
54,Ascent South Lake Union,1145 Republican St,Seattle,WA,98109,South Lake Union,0,15,99,91
55,Marlowe,1146 Harrison St,Seattle,WA,98109,South Lake Union,0,7,99,91
56,McKenzie,2202 Eighth Ave,Seattle,WA,98121,Denny Triangle,0,23,100,100
57,624 Yale,624 Yale Ave N,Seattle,WA,98109,South Lake Union,0,3,93,84
58,STAZIONE25,2615 25th Ave S,Seattle,WA,98144,North Beacon Hill,5,0,80,73
59,St. James Tower,920 N 34th St,Seattle,WA,98103,Fremont,5,0,95,63
60,Cadence,3040 NW Market St,Seattle,WA,98107,Ballard,4,0,84,51
61,Alexan 100,100 Denny Way,Seattle,WA,98109,Lower Queen Anne,0,0,96,82
62,Vida Seattle,1205 NE 66th St,Seattle,WA,98115,Roosevelt,0,1,97,59
63,Sedona Apartments,8500 20th Ave NE,Seattle,WA,98115,Wedgewood,0,4,69,52
64,Kiara,111 Terry Ave N,Seattle,WA,98109,South Lake Union,5,0,99,100
65,Broadstone Sky,4745 40th Ave,Seattle,WA,98116,Genesee,5,0,97,54
66,Overlook at Westridge,600 SW Kenyon St,Seattle,WA,98106,Highland Park,0,5,45,42
67,Batik,123 Broadway,Seattle,WA,98122,First Hill,5,0,92,100
68,Malloy,4337 15th Ave NE,Seattle,WA,98105,University District,4,0,99,83
69,Premiere on Pine,1525 9th Ave,Seattle,WA,98101,Denny Triangle,0,5,99,100
70,Garden Pointe,130 SW 112th St,Seattle,WA,98146,Highline,0,1,45,0
71,HANA Apartments,101 6th Ave S,Seattle,WA,98104,Pioneer Square,0,11,98,100
72,Sorento Flats,1414 E Yesler Way,Seattle,WA,98122,Minor,0,5,92,93
73,Rise on 67th,829 NE 67th St,Seattle,WA,98115,Roosevelt,0,5,95,59
74,Derby South Lake Union,1210 Republican St,Seattle,WA,98109,South Lake Union,5,0,97,86
75,Oakwood Residence Seattle South Lake Union,717 N Dexter Ave,Seattle,WA,98109,South Lake Union,5,0,88,85
76,Novo Seattle,6105 Roosevelt Way NE,Seattle,WA,98115,Roosevelt,5,0,97,66
77,Maude Urban Living,836 NE 67th St,Seattle,WA,98115,Roosevelt,0,2,95,59
78,Common Madison,1806 23rd Ave,Seattle,WA,98122,Mann,5,0,89,66
79,Chroma SLU,1212 Harrison St,Seattle,WA,98109,South Lake Union,5,0,98,88
80,Kinects Tower,1823 Minor Ave,Seattle,WA,98101,Denny Triangle,0,6,98,100
81,Arrive,2116 4th Ave,Seattle,WA,98121,Belltown,5,0,99,100
82,Verve Apartments,2720 4th Ave,Seattle,WA,98121,Denny Triangle,0,10,98,99
83,Thornton Place,337 NE 103rd St,Seattle,WA,98125,Seattle,0,1,79,64
84,Vertex Off Broadway,802 E Thomas St,Seattle,WA,98102,Capitol Hill,5,0,99,84
85,Excelsior,1535 Bellevue Ave,Seattle,WA,98122,Capitol Hill,0,12,99,100
86,Leeward,1305 Dexter Ave N,Seattle,WA,98109,Lake Union,0,11,77,77
87,The Shelby,2201 4th Ave,Seattle,WA,98121,Belltown,0,6,99,100
88,Koi,1139 NW Market St,Seattle,WA,98107,Ballard,0,5,94,57
89,Alto Apartments,311 Cedar St,Seattle,WA,98121,Belltown,0,11,99,100
90,206 Bell,206 BELL St,Seattle,WA,98121,Belltown,0,14,99,100
91,East Howe Steps,1823 Eastlake Ave E,Seattle,WA,98102,Eastlake,0,6,77,63
92,The Post,888 Western Ave,Seattle,WA,98104,Downtown Seattle,0,15,98,100
93,The Wilcox,2003 NW 57th St,Seattle,WA,98107,Ballard,0,10,98,55
94,Aura West Seattle,4435 35th Ave SW,Seattle,WA,98126,Fairmount Park,0,9,85,57
95,Stack House,1280 Harrison St,Seattle,WA,98109,South Lake Union,0,10,96,86
96,Ballard on the Park,2233 NW 58th St,Seattle,WA,98107,Ballard,0,8,98,54
97,Summit At Madison Park,1819 23rd Ave,Seattle,WA,98122,Minor,0,14,90,68
98,Element 42,2641 42nd Ave SW,Seattle,WA,98116,North Admiral,0,8,92,42
99,The Loop,407 NE 73rd St,Seattle,WA,98115,Green Lake,4,0,95,56
100,3030 Lake City,3030 NE 143rd St,Seattle,WA,98125,Lake City,4,0,58,51
101,Westhaven Apartments,2201 SW Holden St,Seattle,WA,98106,South Delridge,0,20,51,48
102,Wilsonian,4710 University Way NE,Seattle,WA,98105,University District,5,0,99,80
103,The M,4700 Brooklyn NE,Seattle,WA,98105,University District,5,0,99,80
104,Square One,1020 NE 63rd St,Seattle,WA,98115,Roosevelt,5,0,96,64
105,Rollin Street,120 Westlake Ave,Seattle,WA,98109,South Lake Union,5,0,99,100
106,100 on 6th,100 6th Ave S,Seattle,WA,98104,Pioneer Square,0,1,98,100
107,Packard Building,1530 12th Ave,Seattle,WA,98122,Capitol Hill,5,0,99,85
108,Marq 211,211 Lenora St,Seattle,WA,98121,Seattle,5,0,99,100
109,The Redwood Apartments,111 21st Ave E,Seattle,WA,98112,Stevens,0,2,90,69
110,Vantage Park Apartments,1011 E Terrace St,Seattle,WA,98122,Minor,5,0,94,100
111,Union Bay,526 Yale Ave N,Seattle,WA,98109,South Lake Union,5,0,95,86
112,2900 On First,2900 1st Ave,Seattle,WA,98121,Belltown,0,150,96,93
113,Harrison Square,312 2nd Ave W,Seattle,WA,98119,Lower Queen Anne,5,0,92,74
114,Lighthouse Apartments,7901 Delridge Way SW,Seattle,WA,98106,South Delridge,0,6,46,52
115,Taylor 28,100 Taylor Ave N,Seattle,WA,98109,South Lake Union,5,0,98,100
116,Metro on First,215 1st Ave W,Seattle,WA,98119,Lower Queen Anne,0,2,94,77
117,Aspira Apartments,1823 Terry Ave,Seattle,WA,98101,Denny Triangle,0,3,100,100
118,LEVA On Market,1545 NW Market St,Seattle,WA,98107,Ballard,0,4,97,56
119,Adell Apartments,4532 SW 42nd Ave,Seattle,WA,98116,West Seattle,0,0,98,54
120,Augusta Apartments,4041 Roosevelt Way NE,Seattle,WA,98105,University District,0,1,94,84
121,Cielo,800 Seneca St,Seattle,WA,98101,First Hill,0,6,98,100
122,Axle,3230 16th Ave W,Seattle,WA,98119,Interbay,5,0,75,53
123,AMLI Wallingford,1850 N 34th St,Seattle,WA,98103,Wallingford,5,0,71,61
124,Seventh and James,600 7th Ave,Seattle,WA,98104,First Hill,0,1,97,100
125,John Winthrop Apartments,1020 Seneca St,Seattle,WA,98101,First Hill,4,0,98,100
126,2300 Elliott,2300 Elliott Ave,Seattle,WA,98121,Belltown,4,0,97,100
127,Urbana,1501 NW 56th St,Seattle,WA,98107,Ballard,0,2,97,56
128,Youngstown Flats,4040 26th Ave SW,Seattle,WA,98106,North Delridge,0,3,73,57
129,Panorama Apartments,1100 University St,Seattle,WA,98101,First Hill,4,0,98,100
130,Coppins Well,1000 Minor Ave,Seattle,WA,98104,First Hill,0,3,99,100
131,Washington Terrace Senior Affordable Apart...,120 6th Ave S,Seattle,WA,98104,Pioneer Square,4,0,98,100
132,Slate Apartments,3040 17th W,Seattle,WA,98119,Seattle,0,5,73,54
133,The Enclave,525 NE Northgate Way,Seattle,WA,98125,Maple Leaf,0,9,93,60
134,The Eden Apartments,602-602 Galer St,Seattle,WA,98109,Queen Anne,4,0,53,71
135,Haller Post,1130 N 115th St,Seattle,WA,98133,Seattle,0,4,52,54
136,Skye at Belltown,500 Wall St,Seattle,WA,98121,Belltown,0,2,99,100
137,Springline,3220 California Ave SW,Seattle,WA,98116,North Admiral,5,0,89,45
138,The Heights on Capitol Hill,130 Harvard Ave E,Seattle,WA,98102,Capitol Hill,5,0,99,91
139,Rianna,810 12th Ave,Seattle,WA,98122,Minor,0,1,93,89
140,Uwajimaya Village,521 S Weller St,Seattle,WA,98104,Chinatown,0,1,98,100
141,The Pearl,1530 15th Ave,Seattle,WA,98122,Stevens,0,1,99,80
142,Anthem on 12th,103 12th Ave,Seattle,WA,98122,Minor,0,3,95,100
143,Marq West Seattle,3261 SW Avalon Way,Seattle,WA,98126,North Delridge,0,16,81,58
144,Alcyone,301 Minor Ave N,Seattle,WA,98109,South Lake Union,5,0,99,90
145,Moda,2312 3rd Ave,Seattle,WA,98121,Belltown,0,4,99,100
146,Chloe on Madison,1401-1409 E Madison St,Seattle,WA,98122,Minor,5,0,99,82
147,Three20,320 E Pine St,Seattle,WA,98122,Capitol Hill,0,1,97,100
148,Junction 47,4209 SW Alaska St,Seattle,WA,98116,Junction,0,3,98,54
149,The Blake Apartments,5020 California Ave SW,Seattle,WA,98136,Junction,0,5,92,53
150,TraVigne on 11th,4726 11th Ave NE,Seattle,WA,98105,University District,0,4,99,80
151,The Whittaker,4755 Fauntleroy Way SW,Seattle,WA,98116,Genesee,0,1,95,54
152,The Summit at Lake Union,1735 Dexter Ave N,Seattle,WA,98109,Westlake,0,5,71,70
153,Vox,1527 15th Ave,Seattle,WA,98122,Capitol Hill,5,0,99,80
154,4730 California,4730 California Ave SW,Seattle,WA,98116,Junction,0,4,98,54
155,Astro Apartments,315 1st Ave N,Seattle,WA,98109,Lower Queen Anne,5,0,96,77
156,Union SLU,905 Dexter Ave N,Seattle,WA,98109,South Lake Union,5,0,89,82
157,Angeline Apartments,4801 Rainier Ave S,Seattle,WA,98118,Columbia City,0,5,95,61
158,Muse,1515 Bellevue Ave,Seattle,WA,98122,Capitol Hill,4,0,99,100
159,Greenhouse Apartments,3701 S Hudson St,Seattle,WA,98118,Columbia City,0,4,94,60
160,Prism,10711 8th Ave NE,Seattle,WA,98125,Maple Leaf,0,12,92,63
161,Cedar Park Senior Affordable Apartments,12740 30th Ave NE,Seattle,WA,98125,Lake City,4,0,89,59
162,The Danforth,1425 Spring St,Seattle,WA,98122,Capitol Hill,5,0,99,96
163,The LeeAnn,701 5th Ave N,Seattle,WA,98109,Lower Queen Anne,5,0,96,87
164,Orion,910 John St,Seattle,WA,98109,South Lake Union,5,0,98,95
165,Cosmopolitan,400 NE 45th St,Seattle,WA,98105,Wallingford,4,0,91,79
166,Epicenter,620 N 34th St,Seattle,WA,98103,Fremont,5,0,98,64
167,Metroline Flats,915 E Spruce St,Seattle,WA,98104,First Hill,0,0,94,100
168,Cypress,120 Broadway,Seattle,WA,98122,First Hill,4,0,94,100
169,The Perry,1001 Minor Ave,Seattle,WA,98104,First Hill,5,0,98,100
170,Union Park,1310 Minor Ave,Seattle,WA,98101,First Hill,0,3,99,100
171,The Martin,2105 5th Ave,Seattle,WA,98121,Belltown,0,2,99,100
172,Upton Flats,3490 SW Graham St,Seattle,WA,98126,High Point,0,14,71,52
173,East Union,Union St @ 23rd ave,Seattle,WA,98122,Minor,5,0,93,65
174,Keelson Ballard,1537 NW 56TH St,Seattle,WA,98107,Seattle,5,0,97,56
175,Helix Ellipse,4751 12th Ave NE,Seattle,WA,98105,University District,5,0,99,80
176,Dimension,225 Cedar St,Seattle,WA,98121,Belltown,0,2,99,100
177,Guinevere,522 N 85th St,Seattle,WA,98103,Ballard,0,23,93,54
178,Promenade at the Park,3215 NE 143rd St,Seattle,WA,98125,Lake City,0,3,64,51
179,Willows Court,12316 28th Ave NE,Seattle,WA,98125,Lake City,0,8,88,60
180,King Arthurs Court,12728 NE 28th Ave,Seattle,WA,98125,Lake City,0,6,87,59
181,Brookstone Apartments,3231 S 204th St,Seattle,WA,98198,Seatac,0,4,41,55
182,Verse Seattle,402 22nd Ave S,Seattle,WA,98144,Atlantic,0,2,91,72
183,True North,801 Dexter Ave N,Seattle,WA,98109,South Lake Union,0,13,88,85
184,Neptune,912 Dexter Ave N,Seattle,WA,98109,South Lake Union,0,22,82,82
185,Pratt Park Apartments,1800 S Jackson St,Seattle,WA,98144,Atlantic,0,3,93,78
186,SONATA At Columbia Station,3000-3004 S Alaska St,Seattle,WA,98108,Columbia City,5,0,87,64
187,Ivy Ridge,4730 21st Ave NE,Seattle,WA,98105,University District,0,12,86,78
188,Iron Flats,828 NE 66th St,Seattle,WA,98115,Roosevelt,5,0,95,59
189,MOD Apartments,6559 35th Ave NE,Seattle,WA,98115,Ravenna,5,0,78,51
190,Medora,6810 Roosevelt Way NE,Seattle,WA,98115,Roosevelt,5,0,96,59
191,Hillview,12825 60th Ln S,Seattle,WA,98178,Bryn Mawr-Skyway,0,1,30,0
192,Willow Court Apartments,6901 Delridge Way SW,Seattle,WA,98106,High Point,4,0,41,47
193,Andante Seattle,3031 NE 137th St,Seattle,WA,98125,Lake City,0,3,69,57
194,Avanti,1401 Boren Ave,Seattle,WA,98101,First Hill,0,1,99,100
195,Cyrene,50 University St,Seattle,WA,98101,Downtown Seattle,0,1,98,100
196,Gilbert Apartments,1529 Queen Anne N,Seattle,WA,98109,Queen Anne,5,0,95,62
197,Lucille on Roosevelt,6717 Roosevelt Way NE,Seattle,WA,98115,Roosevelt,5,0,96,59
198,Holgate 12 Apartments,1814 12th Ave S,Seattle,WA,98144,North Beacon Hill,4,0,75,78
199,Executive Estates,1227 NE 143rd St,Seattle,WA,98125,Lake City,0,4,55,50
200,Nine & Pine,1601 9th Ave,Seattle,WA,98101,Denny Triangle,0,1,99,100
201,M Street,910 8th Ave,Seattle,WA,98104,First Hill,5,0,98,100
202,Maple Leaf Plaza,2021 NE 90th St,Seattle,WA,98115,Maple Leaf,0,2,61,52
203,Avalon Micro Studios,3268 SW Avalon Way,Seattle,WA,98126,Fairmount Park,0,2,87,57
204,Quintessa Apartments,201 Yesler Way,Seattle,WA,98104,Pioneer Square,0,1,98,100
205,Junction 160,16100 Linden Ave N,Shoreline,WA,98133,Shoreline,0,6,77,52
206,Sheridan Beach Terrace,15530 Bothell Way NE,Lake Forest Park,WA,98155,Sheridan Beach,4,0,35,0
207,REO Flats,1525 14th Ave,Seattle,WA,98122,Capitol Hill,0,14,99,82
208,Sunset Electric,1111 E Pine St,Seattle,WA,98122,Capitol Hill,0,5,100,88
209,Cambridge Park Villa,6801 S 133rd St,Seattle,WA,98178,Bryn Mawr-Skyway,0,7,20,0
210,Hayes On Stone Way,3627 Stone Way N,Seattle,WA,98103,Fremont,0,2,89,60
211,Viktoria,1915 2nd Ave,Seattle,WA,98101,Pike Place Market,0,15,99,100
212,Ballard Lofts,6450 24th Ave NW,Seattle,WA,98107,Ballard,0,4,85,46
213,Green Lake Village,427 NE 72nd St,Seattle,WA,98115,Green Lake,0,8,95,57
214,Campus View,4322 7th Ave NE,Seattle,WA,98105,University District,4,0,95,82
215,Dexter,2465 Dexter Ave N,Seattle,WA,98109,Queen Anne,4,0,75,66
216,Oxford Apartments,1920 1st Ave,Seattle,WA,98101,Downtown Seattle,4,0,99,100
217,Zella,429 2nd Ave W,Seattle,WA,98119,Lower Queen Anne,0,18,94,72
218,Alloy,802 5th Ave,Seattle,WA,98109,Lower Queen Anne,4,0,95,84
219,Linden Square,13530 Linden Ave N,Seattle,WA,98133,Bitter Lake,0,1,79,52
220,Soren Apartments,5711 24th Ave NW,Seattle,WA,98107,Ballard,0,2,98,54
221,Charlesgate,2230 4th Ave,Seattle,WA,98121,Belltown,0,1,99,100
222,City Views,3021 SW Bradford St,Seattle,WA,98126,West Seattle,0,3,70,57
223,Parla,9176 Holman Rd NW,Seattle,WA,98117,Crown Hill,5,0,82,56
224,Avant Apartments,2112 E Denny Way,Seattle,WA,98122,Stevens,0,2,89,67
225,Zindorf,714 7th Ave,Seattle,WA,98104,First Hill,4,0,98,100
226,Modera South Lake Union,435 Dexter Ave N,Seattle,WA,98109,South Lake Union,0,12,94,90
227,Beacon View,1701 12th Ave S,Seattle,WA,98144,North Beacon Hill,0,2,72,85
228,700 Broadway Apartments,700 Broadway Ave E,Seattle,WA,98102,Capitol Hill,0,2,97,80
229,The Audrey at Belltown,2922 Western Ave,Seattle,WA,98121,Belltown,5,0,96,93
230,Metropolitan Park,601 S Washington St,Seattle,WA,98104,Chinatown,0,4,98,100
231,The Galleria,10500 Meridian Ave N,Seattle,WA,98133,North College Park,0,4,73,64
232,Addison on Fourth,308 4th Ave S,Seattle,WA,98104,Chinatown,0,5,98,100
233,Northline Apartments,14359 Linden Ave N,Seattle,WA,98133,Bitter Lake,0,3,72,53
234,Jack Apartments,1427 11th Ave,Seattle,WA,98122,Capitol Hill,0,1,100,92
235,Residences At 3295,3295 SW Avalon Way,Seattle,WA,98126,Fairmount Park,0,2,85,57
236,8th + Republican,430 Eighth Ave N,Seattle,WA,98109,South Lake Union,5,0,96,90
237,Modera Jackson,1801 S Jackson St,Seattle,WA,98144,Central Seattle,5,0,93,78
238,Carolina Court,527 Eastlake Ave,Seattle,WA,98109,South Lake Union,4,0,95,86
239,Northgate Apartments,11060 NE 2nd Ave,Seattle,WA,98125,Pinehurst,0,2,76,60
240,AVA Queen Anne,330 3rd Ave,Seattle,WA,98119,Lower Queen Anne,5,0,90,71
241,Delridge Crossing,2425 SW Webster St,Seattle,WA,98106,High Point,0,5,46,48
242,Alley24,241 Yale Ave N,Seattle,WA,98109,South Lake Union,0,10,97,89
243,Domaine,2483 Birch Ave N,Seattle,WA,98109,Queen Anne,0,2,73,66
244,Belay Apartments,6559 15th Ave NW,Seattle,WA,98117,Loyal Heights,0,7,91,49
245,Noba Apartments,8022 15th Ave NW,Seattle,WA,98117,Whittier Heights,0,2,88,55
246,Collage,3606 Woodland Park Ave N,Seattle,WA,98103,Fremont,5,0,92,61
247,Viva,1111 E Union St,Seattle,WA,98122,Capitol Hill,0,1,100,89
248,Expo,118 Republican St,Seattle,WA,98109,Lower Queen Anne,0,1,97,77
249,The Bernard,115 Warren Ave N,Seattle,WA,98109,Lower Queen Anne,5,0,96,82
250,Array,14027 Lake City Way NE,Seattle,WA,98125,Lake City,0,8,65,50
251,AVA Ballard,5555 14th Ave NW,Seattle,WA,98107,West Woodland,0,2,97,56
252,Canvas,600 Elliott Ave W,Seattle,WA,98119,Lower Queen Anne,0,24,80,62
253,Annaliese,118 6th Ave N,Seattle,WA,98109,South Lake Union,0,1,98,100
254,Wharfside Pointe,3812-3827 14th Ave W,Seattle,WA,98119,Queen Anne,0,2,69,57
255,Velo and Ray,3636 Stone Way N,Seattle,WA,98103,Wallingford,0,2,89,60
256,Collins on Pine,1601 13th Ave,Seattle,WA,98122,Capitol Hill,5,0,99,84
257,Fountain Court,2400 4th Ave,Seattle,WA,98121,Belltown,0,2,99,100
258,Janus Apartments,121 NW 85th St,Seattle,WA,98117,Greenwood,5,0,95,55
259,Rooster Apartments,900 NE 65th St,Seattle,WA,98115,Seattle,5,0,97,59
260,Westside Flats,3233 SW Avalon Way,Seattle,WA,98126,West Seattle,0,1,77,58
261,AVA Capitol Hill,1530 Belmont Ave,Seattle,WA,98122,Capitol Hill,0,3,100,100
262,Walton Lofts,75 Vine St,Seattle,WA,98121,Belltown,5,0,98,100
263,Sunset Park,11202 2nd Ln SW,Seattle,WA,98146,Highline,0,4,33,0
264,Greenlake Terrace Apartments,7415 5th Ave NE,Seattle,WA,98115,Green Lake,0,3,93,57
265,Park 3025,3025 NE 137th St,Seattle,WA,98125,Lake City,0,5,75,58
266,REV Fremont,317 NW 41st St,Seattle,WA,98107,Fremont,5,0,89,66
267,Marketside Flats,84 Union St,Seattle,WA,98101,Pike Place Market,0,1,98,100
268,Cirrus,2030 8th Ave,Seattle,WA,98121,Denny Triangle,0,1,99,100
269,Axis,123 2nd Ave N,Seattle,WA,98109,Lower Queen Anne,0,6,96,91
270,Beryl Apt Homes,1200 E Pike St,Seattle,WA,98122,Capitol Hill,0,1,99,85
271,Avalon Belltown Towers,210 Wall St,Seattle,WA,98121,Belltown,0,1,99,100
