neighborhood,amenitytype,amenitytype
Alki,Features,0.42857142857142855
Alki,Kitchen,0.23809523809523808
Alki,Lease Length,0.14285714285714285
Alki,Outdoor Space,0.09523809523809523
Alki,Living Space,0.047619047619047616
Alki,Services,0.047619047619047616
Arbor Heights,Kitchen,0.3888888888888889
Arbor Heights,Features,0.2777777777777778
Arbor Heights,Living Space,0.2777777777777778
Arbor Heights,Lease Length,0.05555555555555555
Atlantic,Unique Features,0.5593879839081976
Atlantic,Property Information,0.1022225153333773
Atlantic,Pet Policy,0.058893358834003824
Atlantic,Fitness & Recreation,0.054738508210776235
Atlantic,Lease Length,0.05163885774582866
Atlantic,Kitchen,0.03620655543098331
Atlantic,Features,0.03389830508474576
Atlantic,Living Space,0.03343665501549825
Atlantic,Outdoor Space,0.028028754204313132
Atlantic,Services,0.017938402690760403
Atlantic,Security,0.011871001780650267
Atlantic,Interior,0.010749851612477742
Atlantic,Student Features,0.0009892501483875222
Ballard,Unique Features,0.23865035946495575
Ballard,Kitchen,0.14126543121473376
Ballard,Features,0.1245094950305044
Ballard,Services,0.09933262681522642
Ballard,Living Space,0.09749949875404577
Ballard,Outdoor Space,0.07690545069171942
Ballard,Interior,0.06733881362243291
Ballard,Pet Policy,0.03906854180391258
Ballard,Security,0.03737862687251167
Ballard,Property Information,0.03391286913184201
Ballard,Fitness & Recreation,0.028986337467419014
Ballard,Lease Length,0.015151949130696302
Beacon Hill,Kitchen,0.25301204819277107
Beacon Hill,Features,0.20481927710843373
Beacon Hill,Living Space,0.1566265060240964
Beacon Hill,Pet Policy,0.0963855421686747
Beacon Hill,Interior,0.07228915662650602
Beacon Hill,Services,0.060240963855421686
Beacon Hill,Outdoor Space,0.04819277108433735
Beacon Hill,Property Information,0.04819277108433735
Beacon Hill,Lease Length,0.03614457831325301
Beacon Hill,Security,0.024096385542168676
Belltown,Unique Features,0.2971556477589125
Belltown,Features,0.12012065294535132
Belltown,Kitchen,0.10703171916798603
Belltown,Services,0.10385161325544576
Belltown,Living Space,0.08455260140852759
Belltown,Outdoor Space,0.0697439537042092
Belltown,Interior,0.06450292078397117
Belltown,Security,0.03903477643718949
Belltown,Property Information,0.03458535786427908
Belltown,Pet Policy,0.0333569907735983
Belltown,Fitness & Recreation,0.030791068406398427
Belltown,Lease Length,0.01521810340121199
Belltown,Student Features,5.4594092919146145e-05
Bitter Lake,Unique Features,0.3130704991260439
Bitter Lake,Features,0.1256554670809866
Bitter Lake,Kitchen,0.09691202175179646
Bitter Lake,Outdoor Space,0.09089143523014177
Bitter Lake,Services,0.08331714896096329
Bitter Lake,Living Space,0.07826762478151097
Bitter Lake,Interior,0.054767916100213636
Bitter Lake,Fitness & Recreation,0.038842493688094774
Bitter Lake,Security,0.03709458147213051
Bitter Lake,Pet Policy,0.03456981938240435
Bitter Lake,Property Information,0.03165663235579724
Bitter Lake,Lease Length,0.01495436006991649
Briarcliff,Unique Features,1.0
Brighton,Unique Features,0.29213093130618906
Brighton,Living Space,0.12556839876427506
Brighton,Kitchen,0.1134020618556701
Brighton,Services,0.10888958311638725
Brighton,Outdoor Space,0.10219028775729806
Brighton,Features,0.08337672255198028
Brighton,Security,0.04443055989447742
Brighton,Fitness & Recreation,0.03443368391822
Brighton,Interior,0.03443368391822
Brighton,Pet Policy,0.024436807941962582
Brighton,Property Information,0.024436807941962582
Brighton,Lease Length,0.01227047103335763
Broadview,Unique Features,0.25796178343949044
Broadview,Kitchen,0.1942675159235669
Broadview,Features,0.1592356687898089
Broadview,Living Space,0.08121019108280254
Broadview,Outdoor Space,0.06847133757961783
Broadview,Services,0.06369426751592357
Broadview,Pet Policy,0.041401273885350316
Broadview,Property Information,0.041401273885350316
Broadview,Interior,0.03821656050955414
Broadview,Security,0.03184713375796178
Broadview,Lease Length,0.020700636942675158
Broadview,Fitness & Recreation,0.0015923566878980893
Bryant,Features,0.2222222222222222
Bryant,Lease Length,0.14814814814814814
Bryant,Living Space,0.14814814814814814
Bryant,Outdoor Space,0.14814814814814814
Bryant,Kitchen,0.1111111111111111
Bryant,Services,0.1111111111111111
Bryant,Property Information,0.07407407407407407
Bryant,Unique Features,0.037037037037037035
Bryn Mawr-Skyway,Unique Features,0.1890547263681592
Bryn Mawr-Skyway,Features,0.1517412935323383
Bryn Mawr-Skyway,Living Space,0.14759535655058043
Bryn Mawr-Skyway,Kitchen,0.14427860696517414
Bryn Mawr-Skyway,Outdoor Space,0.10530679933665009
Bryn Mawr-Skyway,Services,0.05472636815920398
Bryn Mawr-Skyway,Pet Policy,0.05306799336650083
Bryn Mawr-Skyway,Fitness & Recreation,0.03316749585406302
Bryn Mawr-Skyway,Interior,0.03316749585406302
Bryn Mawr-Skyway,Property Information,0.03150912106135987
Bryn Mawr-Skyway,Security,0.03150912106135987
Bryn Mawr-Skyway,Lease Length,0.014925373134328358
Bryn Mawr-Skyway,Student Features,0.009950248756218905
Capitol Hill,Unique Features,0.2875544815086523
Capitol Hill,Features,0.12318215164199715
Capitol Hill,Kitchen,0.11159539118802055
Capitol Hill,Services,0.09282354464247185
Capitol Hill,Living Space,0.08809821775341993
Capitol Hill,Outdoor Space,0.08002848142234498
Capitol Hill,Interior,0.053294782721270445
Capitol Hill,Security,0.043736244767617484
Capitol Hill,Property Information,0.040262374314935484
Capitol Hill,Pet Policy,0.03743580891554827
Capitol Hill,Fitness & Recreation,0.020023302981918612
Capitol Hill,Lease Length,0.016916238726103656
Capitol Hill,Student Features,0.005048979415699305
Central Seattle,Unique Features,0.6190476190476191
Central Seattle,Features,0.07142857142857142
Central Seattle,Fitness & Recreation,0.07142857142857142
Central Seattle,Interior,0.07142857142857142
Central Seattle,Pet Policy,0.07142857142857142
Central Seattle,Property Information,0.047619047619047616
Central Seattle,Kitchen,0.023809523809523808
Central Seattle,Lease Length,0.023809523809523808
Chinatown,Unique Features,0.1942942942942943
Chinatown,Kitchen,0.14084084084084084
Chinatown,Features,0.12282282282282282
Chinatown,Living Space,0.11201201201201201
Chinatown,Services,0.07837837837837838
Chinatown,Property Information,0.06426426426426426
Chinatown,Pet Policy,0.05915915915915916
Chinatown,Outdoor Space,0.05645645645645646
Chinatown,Security,0.05645645645645646
Chinatown,Interior,0.054954954954954956
Chinatown,Fitness & Recreation,0.036036036036036036
Chinatown,Lease Length,0.024324324324324326
Columbia City,Unique Features,0.3903089575461214
Columbia City,Kitchen,0.09424316514781063
Columbia City,Features,0.08401867081573683
Columbia City,Pet Policy,0.0722382751722605
Columbia City,Services,0.06645921315847966
Columbia City,Property Information,0.057790620137808404
Columbia City,Interior,0.055345632362747275
Columbia City,Living Space,0.0531229162036008
Columbia City,Outdoor Space,0.0437875083351856
Columbia City,Fitness & Recreation,0.03000666814847744
Columbia City,Security,0.029562124916648145
Columbia City,Lease Length,0.02111580351189153
Columbia City,Student Features,0.0020004445432318294
Crown Hill,Unique Features,0.37656427758816835
Crown Hill,Kitchen,0.11035267349260523
Crown Hill,Features,0.1080773606370876
Crown Hill,Services,0.07281001137656427
Crown Hill,Pet Policy,0.07053469852104664
Crown Hill,Interior,0.06143344709897611
Crown Hill,Outdoor Space,0.04778156996587031
Crown Hill,Living Space,0.038680318543799774
Crown Hill,Fitness & Recreation,0.034129692832764506
Crown Hill,Property Information,0.03185437997724687
Crown Hill,Security,0.03185437997724687
Crown Hill,Lease Length,0.015927189988623434
Denny Triangle,Unique Features,0.5249368198463046
Denny Triangle,Features,0.09081180050544123
Denny Triangle,Pet Policy,0.06823456599102584
Denny Triangle,Kitchen,0.05595956470163495
Denny Triangle,Property Information,0.04389086595492289
Denny Triangle,Living Space,0.04378771468358347
Denny Triangle,Outdoor Space,0.03615452060446645
Denny Triangle,Security,0.03445252462736603
Denny Triangle,Services,0.034439630718448605
Denny Triangle,Fitness & Recreation,0.028160297075661457
Denny Triangle,Interior,0.019714786734746505
Denny Triangle,Lease Length,0.019456908556397957
Downtown Seattle,Unique Features,0.22697512003491924
Downtown Seattle,Features,0.12418158009602794
Downtown Seattle,Interior,0.10657645860613997
Downtown Seattle,Kitchen,0.09275425578350066
Downtown Seattle,Outdoor Space,0.07900480139676996
Downtown Seattle,Fitness & Recreation,0.0767495998836025
Downtown Seattle,Services,0.06991124690819148
Downtown Seattle,Living Space,0.0673650516513895
Downtown Seattle,Pet Policy,0.04728648334060818
Downtown Seattle,Security,0.04495853339153208
Downtown Seattle,Property Information,0.0429215771860905
Downtown Seattle,Lease Length,0.021315291721227994
Dunlap,Unique Features,0.20249221183800623
Dunlap,Features,0.16510903426791276
Dunlap,Kitchen,0.12149532710280374
Dunlap,Living Space,0.102803738317757
Dunlap,Outdoor Space,0.102803738317757
Dunlap,Pet Policy,0.08099688473520249
Dunlap,Property Information,0.06074766355140187
Dunlap,Services,0.06074766355140187
Dunlap,Interior,0.040498442367601244
Dunlap,Lease Length,0.021806853582554516
Dunlap,Fitness & Recreation,0.020249221183800622
Dunlap,Security,0.020249221183800622
Eastlake,Unique Features,0.5257461462774681
Eastlake,Features,0.10593637258117415
Eastlake,Outdoor Space,0.07969826172515579
Eastlake,Kitchen,0.07445063955395212
Eastlake,Property Information,0.04493276484093145
Eastlake,Pet Policy,0.04394883568383076
Eastlake,Living Space,0.04296490652673007
Eastlake,Services,0.03246966218432273
Eastlake,Security,0.02361429977041653
Eastlake,Lease Length,0.01803870121351263
Eastlake,Interior,0.008199409642505739
Fairmount Park,Unique Features,0.43998566821927626
Fairmount Park,Kitchen,0.11035471157291293
Fairmount Park,Features,0.09799355069867431
Fairmount Park,Services,0.0949480472948764
Fairmount Park,Interior,0.052848441418846294
Fairmount Park,Security,0.04084557506270154
Fairmount Park,Outdoor Space,0.039949838767466855
Fairmount Park,Living Space,0.03511286277319957
Fairmount Park,Pet Policy,0.026155499820852742
Fairmount Park,Fitness & Recreation,0.025618058043711932
Fairmount Park,Property Information,0.024364027230383375
Fairmount Park,Lease Length,0.011823719097097814
First Hill,Unique Features,0.29565574029087927
First Hill,Services,0.1313562797741111
First Hill,Kitchen,0.09668422879136827
First Hill,Living Space,0.09050067829763069
First Hill,Features,0.08856989620468814
First Hill,Outdoor Space,0.07767927564122788
First Hill,Interior,0.06890241978736159
First Hill,Security,0.03795311859166483
First Hill,Fitness & Recreation,0.03539767170394675
First Hill,Property Information,0.03011010505726094
First Hill,Pet Policy,0.01872732435246238
First Hill,Student Features,0.016847020222734013
First Hill,Lease Length,0.011616241284664163
Fremont,Unique Features,0.3282379719717933
Fremont,Outdoor Space,0.11978934214049808
Fremont,Services,0.11787021333571365
Fremont,Kitchen,0.10657859501919129
Fremont,Features,0.09990627510488262
Fremont,Living Space,0.05670356154601446
Fremont,Interior,0.03847183790056235
Fremont,Pet Policy,0.03621797732750156
Fremont,Fitness & Recreation,0.034164955815406586
Fremont,Security,0.0294563956083192
Fremont,Property Information,0.022025350352584128
Fremont,Lease Length,0.010577523877532804
Gatewood,Features,0.5
Gatewood,Unique Features,0.5
Genesee,Unique Features,0.2904543642885612
Genesee,Kitchen,0.16831905141490633
Genesee,Features,0.12691809485850936
Genesee,Living Space,0.10312873654842566
Genesee,Outdoor Space,0.08175567955360702
Genesee,Services,0.07351036269430052
Genesee,Fitness & Recreation,0.034749900358708646
Genesee,Interior,0.029145077720207253
Genesee,Property Information,0.029070346751693902
Genesee,Security,0.02687823834196891
Genesee,Pet Policy,0.021522518931845355
Genesee,Lease Length,0.014547628537265843
Georgetown,Features,0.2
Georgetown,Kitchen,0.2
Georgetown,Lease Length,0.2
Georgetown,Living Space,0.2
Georgetown,Outdoor Space,0.2
Green Lake,Unique Features,0.37896024783276494
Green Lake,Kitchen,0.1056413193450134
Green Lake,Features,0.09538437508135267
Green Lake,Living Space,0.08809517611225366
Green Lake,Services,0.08726212480149949
Green Lake,Outdoor Space,0.0845026423346263
Green Lake,Interior,0.051857444094447196
Green Lake,Security,0.026813839064899904
Green Lake,Fitness & Recreation,0.02624111628875641
Green Lake,Pet Policy,0.024158488011870982
Green Lake,Property Information,0.020722151355010023
Green Lake,Lease Length,0.010361075677505011
Greenwood,Unique Features,0.4609446792868958
Greenwood,Features,0.08380812350670833
Greenwood,Services,0.08380812350670833
Greenwood,Kitchen,0.06892115419959566
Greenwood,Outdoor Space,0.06800220547693439
Greenwood,Fitness & Recreation,0.05256386693622496
Greenwood,Interior,0.050725969490902405
Greenwood,Living Space,0.03565521043925749
Greenwood,Pet Policy,0.03142804631501562
Greenwood,Property Information,0.029957728358757582
Greenwood,Security,0.01837897445322551
Greenwood,Lease Length,0.01580591802977394
Haller Lake,Kitchen,0.35294117647058826
Haller Lake,Features,0.20588235294117646
Haller Lake,Living Space,0.20588235294117646
Haller Lake,Lease Length,0.058823529411764705
Haller Lake,Outdoor Space,0.058823529411764705
Haller Lake,Property Information,0.058823529411764705
Haller Lake,Fitness & Recreation,0.029411764705882353
Haller Lake,Security,0.029411764705882353
Harrison/Denny Blaine,Features,0.6666666666666666
Harrison/Denny Blaine,Lease Length,0.3333333333333333
High Point,Unique Features,0.3444976076555024
High Point,Kitchen,0.15789473684210525
High Point,Features,0.1339712918660287
High Point,Services,0.06256900993743099
High Point,Living Space,0.05925653294074347
High Point,Pet Policy,0.04085388295914612
High Point,Outdoor Space,0.039749723960250276
High Point,Security,0.03901361796098638
High Point,Interior,0.0360691939639308
High Point,Property Information,0.03312476996687523
High Point,Fitness & Recreation,0.0305483989694516
High Point,Lease Length,0.016930437983069563
High Point,Student Features,0.005520794994479205
Highland Park,Unique Features,0.2236842105263158
Highland Park,Kitchen,0.14473684210526316
Highland Park,Features,0.13157894736842105
Highland Park,Outdoor Space,0.11842105263157894
Highland Park,Services,0.10526315789473684
Highland Park,Interior,0.07894736842105263
Highland Park,Living Space,0.06578947368421052
Highland Park,Property Information,0.039473684210526314
Highland Park,Fitness & Recreation,0.02631578947368421
Highland Park,Pet Policy,0.02631578947368421
Highland Park,Security,0.02631578947368421
Highland Park,Lease Length,0.013157894736842105
Highline,Features,0.20617466694861494
Highline,Kitchen,0.13935292873757665
Highline,Living Space,0.1069993656164094
Highline,Interior,0.10298160287587228
Highline,Fitness & Recreation,0.09600338337914993
Highline,Outdoor Space,0.08077817720448298
Highline,Services,0.072319729329668
Highline,Unique Features,0.0714738845421865
Highline,Security,0.04313808416155635
Highline,Property Information,0.03848593783040812
Highline,Pet Policy,0.03721717064918587
Highline,Lease Length,0.0050750687248889825
Interbay,Unique Features,0.21520402459474566
Interbay,Kitchen,0.1626607043040805
Interbay,Features,0.12744550027948576
Interbay,Services,0.11235326998323085
Interbay,Living Space,0.09055338177752935
Interbay,Interior,0.0737842370039128
Interbay,Outdoor Space,0.06372275013974288
Interbay,Security,0.05366126327557295
Interbay,Fitness & Recreation,0.03521520402459474
Interbay,Pet Policy,0.03018446059250978
Interbay,Property Information,0.023476802683063163
Interbay,Lease Length,0.011738401341531582
Junction,Features,0.17094408799266728
Junction,Unique Features,0.14482126489459213
Junction,Kitchen,0.1444775435380385
Junction,Living Space,0.12729147571035748
Junction,Outdoor Space,0.09045600366636114
Junction,Services,0.08100366636113657
Junction,Interior,0.0752749770852429
Junction,Property Information,0.05442254812098992
Junction,Security,0.04898029330889093
Junction,Fitness & Recreation,0.031507791017415215
Junction,Pet Policy,0.020623281393217233
Junction,Lease Length,0.010197066911090742
Lake City,Unique Features,0.16744116770926423
Lake City,Features,0.1405421507298183
Lake City,Kitchen,0.12946082812034554
Lake City,Services,0.12654155495978553
Lake City,Outdoor Space,0.10845993446529639
Lake City,Living Space,0.08537384569556151
Lake City,Interior,0.07229669347631815
Lake City,Pet Policy,0.0442061364313375
Lake City,Fitness & Recreation,0.0418230563002681
Lake City,Security,0.04098897825439381
Lake City,Property Information,0.028865058087578194
Lake City,Lease Length,0.014000595770032768
Lake Union,Unique Features,0.5333333333333333
Lake Union,Services,0.1111111111111111
Lake Union,Pet Policy,0.06666666666666667
Lake Union,Security,0.06666666666666667
Lake Union,Features,0.044444444444444446
Lake Union,Interior,0.044444444444444446
Lake Union,Kitchen,0.044444444444444446
Lake Union,Property Information,0.044444444444444446
Lake Union,Fitness & Recreation,0.022222222222222223
Lake Union,Lease Length,0.022222222222222223
Lawton Park,Unique Features,0.3058089294287086
Lawton Park,Features,0.1185789726356217
Lawton Park,Outdoor Space,0.10369659145463274
Lawton Park,Living Space,0.10225636101776284
Lawton Park,Kitchen,0.07345175228036485
Lawton Park,Interior,0.059049447911665866
Lawton Park,Services,0.05184829572731637
Lawton Park,Pet Policy,0.0513682189150264
Lawton Park,Fitness & Recreation,0.04464714354296687
Lawton Park,Property Information,0.044167066730676906
Lawton Park,Lease Length,0.023043686989918388
Lawton Park,Security,0.022083533365338453
Leschi,Features,0.36363636363636365
Leschi,Outdoor Space,0.18181818181818182
Leschi,Fitness & Recreation,0.09090909090909091
Leschi,Kitchen,0.09090909090909091
Leschi,Lease Length,0.09090909090909091
Leschi,Living Space,0.09090909090909091
Leschi,Property Information,0.09090909090909091
Lower Queen Anne,Unique Features,0.505786249149081
Lower Queen Anne,Features,0.06500101190366678
Lower Queen Anne,Services,0.0628852133276912
Lower Queen Anne,Outdoor Space,0.05756811951502217
Lower Queen Anne,Interior,0.05534193144812614
Lower Queen Anne,Property Information,0.04706271962909131
Lower Queen Anne,Pet Policy,0.04443177009548691
Lower Queen Anne,Kitchen,0.043125494452928084
Lower Queen Anne,Living Space,0.034220742185343954
Lower Queen Anne,Security,0.034128750942910235
Lower Queen Anne,Fitness & Recreation,0.026438283075451218
Lower Queen Anne,Lease Length,0.022611447390208452
Lower Queen Anne,Student Features,0.0013982668849925487
Loyal Heights,Unique Features,0.3125
Loyal Heights,Kitchen,0.125
Loyal Heights,Features,0.1125
Loyal Heights,Services,0.1125
Loyal Heights,Outdoor Space,0.075
Loyal Heights,Interior,0.0625
Loyal Heights,Living Space,0.0625
Loyal Heights,Fitness & Recreation,0.0375
Loyal Heights,Security,0.0375
Loyal Heights,Pet Policy,0.025
Loyal Heights,Property Information,0.025
Loyal Heights,Lease Length,0.0125
Madison Park,Kitchen,0.3333333333333333
Madison Park,Outdoor Space,0.3333333333333333
Madison Park,Features,0.1111111111111111
Madison Park,Lease Length,0.1111111111111111
Madison Park,Services,0.1111111111111111
Magnolia,Features,0.5
Magnolia,Lease Length,0.25
Magnolia,Outdoor Space,0.16666666666666666
Magnolia,Kitchen,0.08333333333333333
Mann,Services,0.3323076923076923
Mann,Features,0.14846153846153845
